Origin,Destination,Airline,Flight,Origin Airport,Origin city,Origin temperature,Origin humidity,Origin cloudiness,Origin wind speed,Origin current description,Destination Airport,Destination city,Destination temperature,Destination humidity,Destination cloudiness,Destination wind speed,Destination current description
HUX,MEX,4O,2652,Bahías de Huatulco International Airport,Santa María Huatulco,86.0,58,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,ZIH,4O,2751,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Ixtapa Zihuatanejo International Airport,Zihuatanejo de Azueta,89.6,55,20,13.8,few clouds
PVR,MEX,4O,2760,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,PVR,4O,2761,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds
PVR,MEX,4O,2764,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,PVR,4O,2765,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds
MEX,LIM,4O,2890,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Jorge Chávez International Airport,Callao,82.4,65,20,12.66,few clouds
MEX,LIM,4O,2892,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Jorge Chávez International Airport,Callao,82.4,65,20,12.66,few clouds
MEX,HAV,4O,2902,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,José Martí International Airport,Boyeros,78.8,44,20,11.5,few clouds
MEX,BOG,4O,2930,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,El Dorado International Airport,Bogota Capital District - Municipality,62.6,82,75,10.36,broken clouds
MEX,BOG,4O,2932,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,El Dorado International Airport,Bogota Capital District - Municipality,62.6,82,75,10.36,broken clouds
MEX,MIA,4O,2960,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MEX,LAX,4O,2972,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Los Angeles International Airport,Los Angeles,59.95,63,40,13.8,scattered clouds
MEX,JFK,4O,2990,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,John F Kennedy International Airport,New York County,54.19,49,75,9.22,broken clouds
MEX,TAM,4O,3142,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds
TAM,MEX,4O,3143,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,TRC,4O,3154,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Francisco Sarabia International Airport,Torreón,77.0,15,75,6.91,broken clouds
MEX,PXM,4O,3250,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Puerto Escondido International Airport,San Pedro Mixtepec,84.2,65,40,5.75,scattered clouds
PXM,MEX,4O,3251,Puerto Escondido International Airport,San Pedro Mixtepec,84.2,65,40,5.75,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,CUN,4O,3300,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds
CUN,MEX,4O,3301,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
CUN,MEX,4O,3303,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
ACA,MEX,4O,3706,General Juan N Alvarez International Airport,Acapulco de Juárez,86.0,62,20,8.05,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,ACA,4O,3707,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Juan N Alvarez International Airport,Acapulco de Juárez,86.0,62,20,8.05,few clouds
ZIH,MEX,4O,3752,Ixtapa Zihuatanejo International Airport,Zihuatanejo de Azueta,89.6,55,20,13.8,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,PVR,4O,3763,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds
MEX,MZT,4O,3863,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Rafael Buelna International Airport,Mazatlán,75.2,60,100,0.0,overcast clouds
MEX,GUA,4O,3914,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,La Aurora Airport,Guatemala City,80.6,36,0,6.91,clear sky
TLC,MTY,4O,4116,Licenciado Adolfo Lopez Mateos International Airport,Toluca,78.06,12,0,5.75,smoke,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,TLC,4O,4117,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Adolfo Lopez Mateos International Airport,Toluca,78.06,12,0,5.75,smoke
AGU,MTY,4O,4191,Jesús Terán Paredo International Airport,Municipio de Aguascalientes,75.2,17,0,10.36,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
CUN,MEX,4O,5317,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,LIM,4O,5890,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Jorge Chávez International Airport,Callao,82.4,65,20,12.66,few clouds
CUN,BOG,4O,6940,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,El Dorado International Airport,Bogota Capital District - Municipality,62.6,82,75,10.36,broken clouds
CUN,BOG,4O,940,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,El Dorado International Airport,Bogota Capital District - Municipality,62.6,82,75,10.36,broken clouds
CUN,MID,7M,26,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Licenciado Manuel Crescencio Rejon Int Airport,Mérida,86.0,30,20,16.11,few clouds
VSA,MID,7M,27,Carlos Rovirosa Pérez International Airport,Centro,84.94,58,0,14.97,clear sky,Licenciado Manuel Crescencio Rejon Int Airport,Mérida,86.0,30,20,16.11,few clouds
CUN,BZE,9N,6611,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Philip S. W. Goldson International Airport,Belize District,79.02,65,75,9.22,broken clouds
MEX,MIA,AA,1031,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
GDL,DFW,AA,1034,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
