Origin,Destination,Airline,Flight,Origin Airport,Origin city,Origin temperature,Origin humidity,Origin cloudiness,Origin wind speed,Origin current description,Destination Airport,Destination city,Destination temperature,Destination humidity,Destination cloudiness,Destination wind speed,Destination current description
MEX,CDG,AF,8099,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Charles de Gaulle International Airport,Mauregard,53.65,86,75,17.27,broken clouds
GDL,MEX,AF,8135,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,CJS,AF,8158,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Abraham González International Airport,Ciudad Juárez,56.16,39,40,9.22,scattered clouds
MEX,AMS,AF,8457,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Amsterdam Airport Schiphol,Haarlemmermeer,40.01,97,75,10.36,broken clouds
MEX,ATL,AF,8787,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Hartsfield Jackson Atlanta International Airport,Clayton County,58.03,40,100,6.91,overcast clouds
MEX,CEN,AF,9969,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Ciudad Obregón International Airport,Ciudad Obregón,60.8,51,75,8.05,broken clouds
ZCL,MEX,AF,9990,General Leobardo C. Ruiz International Airport,Morelos,74.44,13,20,16.58,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MAD,AM,1,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Adolfo Suárez Madrid–Barajas Airport,Madrid,48.47,86,75,17.27,light rain
MEX,SCL,AM,10,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Comodoro Arturo Merino Benítez International Airport,Pudahuel,90.14,37,20,24.16,few clouds
MEX,GDL,AM,100,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,AM,105,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,MEX,AM,107,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,AM,108,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,AM,109,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,TIJ,AM,110,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,General Abelardo L. Rodríguez International Airport,Tijuana,57.83,62,75,16.11,broken clouds
MEX,GDL,AM,1104,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
